Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
mens-oyester-mushroom-grey-wild-and-wise-graphic-printed-t-shirt,,,,,,,,,XL,,,,,,,,BWK-BEWA-691907-XL,250,shopify,100,deny,manual,499.00,1399.00,true,true,,,,,,,,,g,,,
mens-oyester-mushroom-grey-wild-and-wise-graphic-printed-t-shirt,,,,,,,,,2XL,,,,,,,,BWK-BEWA-691907-2XL,250,shopify,100,deny,manual,499.00,1399.00,true,true,,,,,,,,,g,,,
mens-oyester-mushroom-grey-wild-and-wise-graphic-printed-t-shirt,,,,,,,,,3XL,,,,,,,,BWK-BEWA-691907-3XL,250,shopify,100,deny,manual,499.00,1399.00,true,true,,,,,,,,,g,,,
mens-black-iron-man-of-war-graphic-printed-t-shirt,Men's  Black Iron Man Of War Graphic Printed T-shirt,<p>Men Black Regular Fit Graphic Print (Bewakoof X Marvel) Men's  Black Iron Man Of War Graphic Printed T-shirt | Bundle: Buy 3 for 1199</p><ul><li><strong>Gender:</strong> Men</li><li><strong>Color:</strong> Black</li><li><strong>Design:</strong> Graphic Print</li><li><strong>Fit:</strong> Regular Fit</li><li><strong>Fabric:</strong> Cotton</li><li><strong>Sleeve:</strong> Half Sleeve</li><li><strong>Fandom Partner:</strong> Bewakoof X Marvel</li></ul>,Bewakoof®,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"Bewakoof, Bewakoof X Marvel, Black, Graphic Print, Marvel, Men, Regular Fit, T-Shirt, X",true,Size,S,,,,,,,,BWK-BEWA-220650-S,250,shopify,100,deny,manual,549.00,1099.00,true,true,,https://images.bewakoof.com/t640/men-s-black-iron-man-of-war-graphic-printed-t-shirt-220650-1753176800-1.jpg,1,Men's  Black Iron Man Of War Graphic Printed T-shirt,false,Men's  Black Iron Man Of War Graphic Printed T-shirt,Men Black Regular Fit Graphic Print (Bewakoof X Marvel) Men's  Black Iron Man Of War Graphic Printed T-shirt | Bundle: Buy 3 for 1199,,g,,,active
mens-black-iron-man-of-war-graphic-printed-t-shirt,,,,,,,,,M,,,,,,,,BWK-BEWA-220650-M,250,shopify,100,deny,manual,549.00,1099.00,true,true,,,,,,,,,g,,,
mens-black-iron-man-of-war-graphic-printed-t-shirt,,,,,,,,,L,,,,,,,,BWK-BEWA-220650-L,250,shopify,100,deny,manual,549.00,1099.00,true,true,,,,,,,,,g,,,
mens-black-iron-man-of-war-graphic-printed-t-shirt,,,,,,,,,XL,,,,,,,,BWK-BEWA-220650-XL,250,shopify,100,deny,manual,549.00,1099.00,true,true,,,,,,,,,g,,,
mens-black-iron-man-of-war-graphic-printed-t-shirt,,,,,,,,,2XL,,,,,,,,BWK-BEWA-220650-2XL,250,shopify,100,deny,manual,549.00,1099.00,true,true,,,,,,,,,g,,,
mens-black-iron-man-of-war-graphic-printed-t-shirt,,,,,,,,,3XL,,,,,,,,BWK-BEWA-220650-3XL,250,shopify,100,deny,manual,549.00,1099.00,true,true,,,,,,,,,g,,,
mens-black-kahani-graphic-printed-oversized-acid-wash-t-shirt,Men's Black Kahani Graphic Printed Oversized Acid Wash T-shirt,<p>Men Black Oversized Fit Graphic Print (Bewakoof) Men's Black Kahani Graphic Printed Oversized Acid Wash T-shirt | Bundle: Buy 3 get 10% off</p><ul><li><strong>Gender:</strong> Men</li><li><strong>Color:</strong> Black</li><li><strong>Design:</strong> Graphic Print</li><li><strong>Fit:</strong> Oversized Fit</li><li><strong>Fabric:</strong> Cotton</li><li><strong>Sleeve:</strong> Half Sleeve</li><li><strong>Fandom Partner:</strong> Bewakoof</li></ul>,Bewakoof®,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"Bewakoof, Black, Graphic Print, Men, Oversized Fit, T-Shirt",true,Size,S,,,,,,,,BWK-BEWA-677648-S,250,shopify,100,deny,manual,899.00,2199.00,true,true,,https://images.bewakoof.com/t640/men-s-black-kahani-graphic-printed-oversized-acid-wash-t-shirt-677648-1746768985-1.jpg,1,Men's Black Kahani Graphic Printed Oversized Acid Wash T-shirt,false,Men's Black Kahani Graphic Printed Oversized Acid Wash T-shirt,Men Black Oversized Fit Graphic Print (Bewakoof) Men's Black Kahani Graphic Printed Oversized Acid Wash T-shirt | Bundle: Buy 3 get 10% off,,g,,,active
